customerID,ChurnProbability,RiskSegment,Contract,tenure,MonthlyCharges,TotalCharges
7762-ONLJY,3.9,Low Risk,One year,6,19.7,94.45
6710-HSJRD,30.44,Medium Risk,Month-to-month,61,114.1,7132.15
8873-GLDMH,65.86,High Risk,Month-to-month,6,73.85,401.3
9907-SWKKF,72.25,High Risk,Month-to-month,1,25.05,25.05
4658-HCOHW,49.32,Medium Risk,Month-to-month,21,102.8,2110.15
9330-VOFSZ,6.69,Low Risk,Two year,60,110.8,6640.7
2860-RANUS,44.75,Medium Risk,Month-to-month,20,85.8,1727.5
6234-PFPXL,37.93,Medium Risk,Month-to-month,22,95.9,2234.95
7205-BAIAD,1.35,Low Risk,Two year,40,20.6,827.3
3858-VOBET,53.99,Medium Risk,Month-to-month,23,74.95,1710.45
5103-MHMHY,48.41,Medium Risk,Month-to-month,1,45.95,45.95
6119-SPUDB,1.41,Low Risk,Two year,46,38.25,1755.35
9389-ACWBI,45.83,Medium Risk,Month-to-month,5,69.95,320.4
3454-JFUBC,1.17,Low Risk,Two year,68,20.0,1396.0
1768-ZAIFU,81.72,High Risk,Month-to-month,1,25.2,25.2
7017-VFULY,14.79,Low Risk,Month-to-month,2,20.1,43.15
9221-OTIVJ,71.46,High Risk,Month-to-month,14,104.85,1531.4
2482-CZGBB,54.35,Medium Risk,Month-to-month,10,70.0,740.0
7018-WBJNK,48.8,Medium Risk,Month-to-month,13,78.3,1033.95
3331-HQDTW,27.5,Low Risk,Month-to-month,34,109.8,3587.25
4695-VADHF,20.45,Low Risk,Month-to-month,18,57.45,990.85
4086-WITJG,0.51,Low Risk,Two year,71,19.7,1301.1
6297-NOOPG,12.02,Low Risk,Two year,70,110.5,7752.05
8777-PVYGU,3.36,Low Risk,One year,52,64.3,3410.6
4378-MYPGO,9.0,Low Risk,Two year,68,105.25,7173.15
9313-CDOGY,7.37,Low Risk,Month-to-month,38,19.6,717.3
4121-AGSIN,2.08,Low Risk,One year,58,24.5,1497.9
0432-CAJZV,65.51,High Risk,Month-to-month,3,90.7,237.65
9097-ZUBYC,17.05,Low Risk,Month-to-month,14,48.8,664.4
9638-JIQYA,53.38,Medium Risk,Month-to-month,2,24.9,49.7
1024-GUALD,69.72,High Risk,Month-to-month,1,24.8,24.8
8024-XNAFQ,0.62,Low Risk,Two year,72,107.4,7748.75
7587-RZNME,54.22,Medium Risk,Month-to-month,3,43.3,123.65
1346-UFHAX,47.81,Medium Risk,Month-to-month,13,80.0,1029.35
6374-NTQLP,7.97,Low Risk,Two year,72,104.1,7447.7
6625-FLENO,1.66,Low Risk,Two year,58,20.75,1185.95
7375-WMVMT,1.63,Low Risk,Two year,71,95.5,6707.15
6910-HADCM,78.72,High Risk,Month-to-month,1,76.35,76.35
7401-JIXNM,1.85,Low Risk,Two year,54,91.3,4965.0
7338-ERIVA,3.41,Low Risk,One year,39,45.05,1790.6
5376-DEQCP,80.22,High Risk,Month-to-month,1,70.6,70.6
0909-SELIE,1.37,Low Risk,Two year,61,80.8,4860.85
5419-KLXBN,36.56,Medium Risk,Month-to-month,25,89.15,2257.75
0365-TRTPY,14.54,Low Risk,Month-to-month,37,91.2,3382.3
6712-OAWRH,57.32,Medium Risk,Month-to-month,26,91.25,2351.8
2428-ZMCTB,8.05,Low Risk,Month-to-month,10,19.75,208.25
1963-VAUKV,31.62,Medium Risk,Month-to-month,1,20.4,20.4
9381-NDKME,34.38,Medium Risk,Month-to-month,24,40.65,933.3
3729-OWRVL,24.74,Low Risk,Two year,65,110.35,7246.15
0895-LMRSF,14.64,Low Risk,One year,23,64.9,1509.8
2676-SSLTO,2.02,Low Risk,Two year,49,66.15,3199.0
8495-PRWFH,18.08,Low Risk,Month-to-month,42,55.65,2421.75
9030-QGZNL,2.46,Low Risk,Two year,8,20.85,161.65
9972-NKTFD,8.8,Low Risk,Month-to-month,28,54.65,1517.5
7998-WNZEM,0.43,Low Risk,Two year,71,80.6,5708.2
0979-PHULV,45.15,Medium Risk,Month-to-month,69,99.45,7007.6
6445-TNRXS,10.42,Low Risk,Two year,68,114.7,7849.85
9586-JGQKH,6.46,Low Risk,Two year,64,105.4,6794.75
3966-HRMZA,57.42,Medium Risk,Month-to-month,3,75.05,202.9
5498-IBWPI,1.91,Low Risk,One year,66,49.4,3251.85
6823-SIDFQ,0.58,Low Risk,One year,28,18.25,534.7
2323-ARSVR,15.35,Low Risk,Two year,67,111.05,7321.05
5468-BPMMO,8.08,Low Risk,Month-to-month,46,19.6,851.2
0486-HECZI,38.08,Medium Risk,Month-to-month,55,96.75,5238.9
2178-PMGCJ,33.3,Medium Risk,Month-to-month,22,69.7,1490.4
4660-IRIBM,30.83,Medium Risk,Month-to-month,18,87.9,1500.5
9674-EHPPG,1.82,Low Risk,Two year,46,40.4,1842.7
5606-AMZBO,47.84,Medium Risk,Month-to-month,10,78.15,765.15
0665-XHDJU,6.39,Low Risk,Two year,72,99.4,7285.7
5402-HTOTQ,36.57,Medium Risk,Month-to-month,16,55.3,875.35
8258-GSTJK,76.56,High Risk,Month-to-month,3,77.0,237.75
3787-TRIAL,34.17,Medium Risk,Month-to-month,21,26.05,565.75
6175-IRFIT,51.67,Medium Risk,Month-to-month,5,78.75,426.35
6317-YPKDH,48.74,Medium Risk,Month-to-month,1,29.95,29.95
5692-FPTAH,54.47,Medium Risk,Month-to-month,1,45.4,45.4
5373-SFODM,46.6,Medium Risk,Month-to-month,36,85.25,3132.75
0868-VJRDR,8.43,Low Risk,Two year,64,104.05,6605.55
4079-VTGLK,6.4,Low Risk,Two year,30,74.85,2181.75
1166-PQLGG,0.42,Low Risk,Two year,72,19.55,1463.45
5296-BFCYD,1.16,Low Risk,Two year,46,20.1,936.85
6568-POCUI,5.84,Low Risk,Two year,45,95.2,4285.8
2839-RFSQE,11.99,Low Risk,Month-to-month,2,20.65,38.7
2188-SXWVT,4.55,Low Risk,One year,34,55.0,1885.15
8849-GYOKR,14.65,Low Risk,One year,54,106.55,5763.3
3623-FQBOX,7.96,Low Risk,Month-to-month,21,19.95,416.4
2649-HWLYB,3.15,Low Risk,Two year,65,76.15,4929.55
0599-XNYDO,31.31,Medium Risk,Month-to-month,20,69.8,1540.35
2514-GINMM,89.54,High Risk,Month-to-month,1,79.5,79.5
8401-EMUWF,9.48,Low Risk,Month-to-month,42,69.4,3058.3
5766-ZJYBB,31.79,Medium Risk,Month-to-month,1,19.4,19.4
2604-IJPDU,52.93,Medium Risk,Month-to-month,20,96.55,1901.65
2501-XWWTZ,40.4,Medium Risk,Month-to-month,11,70.2,760.05
6370-ZVHDV,0.8,Low Risk,Two year,61,25.3,1554.9
3027-YNWZU,0.83,Low Risk,Two year,64,25.0,1584.8
4526-ZJJTM,34.43,Medium Risk,Month-to-month,25,88.4,2191.15
0440-QEXBZ,12.97,Low Risk,Month-to-month,44,50.15,2139.1
0330-IVZHA,47.29,Medium Risk,Month-to-month,5,69.95,330.15
9758-MFWGD,9.76,Low Risk,One year,48,29.9,1388.75
4229-CZMLL,74.48,High Risk,Month-to-month,6,74.9,469.8
0742-MOABM,27.14,Low Risk,Month-to-month,4,50.05,179.35
4277-BWBML,0.35,Low Risk,Two year,72,19.95,1322.85
5136-GFPMB,24.12,Low Risk,Month-to-month,54,89.4,4869.5
7520-HQWJU,3.73,Low Risk,Month-to-month,66,67.45,4508.65
6304-IJFSQ,42.67,Medium Risk,Month-to-month,3,49.9,130.1
0297-RBCSG,14.03,Low Risk,One year,19,65.35,1231.85
6013-BHCAW,1.97,Low Risk,Two year,61,81.0,4976.15
4402-FTBXC,17.03,Low Risk,Month-to-month,54,89.8,4667.0
1471-GIQKQ,49.5,Medium Risk,Month-to-month,1,49.95,49.95
4283-FUTGF,59.1,Medium Risk,Month-to-month,19,79.85,1471.75
9548-LERKT,1.77,Low Risk,Two year,24,19.75,483.15
8059-UDZFY,38.86,Medium Risk,Month-to-month,33,105.35,3465.05
0410-IPFTY,49.42,Medium Risk,Month-to-month,31,83.85,2674.15
2478-EEWWM,40.47,Medium Risk,Month-to-month,59,44.3,2666.75
4619-EVPHY,28.03,Low Risk,One year,20,91.0,1859.5
2277-DJJDL,40.33,Medium Risk,Month-to-month,60,99.0,6017.9
2911-WDXMV,35.63,Medium Risk,Month-to-month,18,80.55,1406.65
3639-XJHKQ,22.68,Low Risk,Month-to-month,19,60.6,1297.8
8173-RXAYP,1.39,Low Risk,Two year,24,19.7,452.55
4537-CIBHB,3.37,Low Risk,One year,9,20.25,172.35
5442-BXVND,6.53,Low Risk,Month-to-month,33,24.25,838.5
2308-STERM,15.43,Low Risk,Month-to-month,2,19.4,61.05
7159-NOKYQ,8.08,Low Risk,Two year,67,93.15,6368.2
6075-QMNRR,10.53,Low Risk,Month-to-month,52,49.75,2535.55
3694-GLTJM,14.03,Low Risk,Month-to-month,5,19.65,92.05
9629-NHXFW,40.53,Medium Risk,Month-to-month,1,19.4,19.4
7167-PCEYD,0.85,Low Risk,Two year,67,19.8,1311.3
2748-MYRVK,15.8,Low Risk,One year,63,99.9,6137.0
4223-WOZCM,56.66,Medium Risk,Month-to-month,2,49.95,107.1
6946-LMSQS,22.82,Low Risk,One year,25,89.05,2177.45
5469-NUJUR,1.94,Low Risk,Two year,19,19.95,373.5
6388-TABGU,2.73,Low Risk,One year,62,56.15,3487.95
1261-FWTTE,36.15,Medium Risk,Month-to-month,23,34.65,768.45
8590-YFFQO,1.06,Low Risk,Two year,70,64.95,4523.25
0082-OQIQY,44.13,Medium Risk,Month-to-month,29,94.2,2607.6
9465-RWMXL,51.92,Medium Risk,Month-to-month,32,78.9,2447.95
2930-UOTMB,5.49,Low Risk,Month-to-month,31,65.25,1994.3
9128-CPXKI,12.9,Low Risk,Two year,59,95.8,5655.45
0484-FFVBJ,12.71,Low Risk,One year,32,64.85,2010.95
1100-DDVRV,38.42,Medium Risk,Month-to-month,17,49.8,836.35
9313-QOLTZ,7.2,Low Risk,Month-to-month,26,20.9,518.3
3338-CVVEH,73.46,High Risk,Month-to-month,12,94.55,1173.55
1131-SUEKT,8.12,Low Risk,One year,61,98.45,6145.2
7602-DBTOU,0.72,Low Risk,Two year,71,19.6,1416.5
1385-TQOZW,9.42,Low Risk,Month-to-month,9,20.45,147.55
6892-XPFPU,71.76,High Risk,Month-to-month,24,104.25,2433.9
4115-NZRKS,70.92,High Risk,Month-to-month,7,89.15,574.35
5514-YQENT,9.16,Low Risk,Two year,41,111.15,4507.15
6319-IEJWJ,53.24,Medium Risk,Month-to-month,20,90.2,1776.55
8849-AYPTR,38.74,Medium Risk,Month-to-month,33,91.25,2964.05
5893-PYOLZ,1.58,Low Risk,Two year,56,81.8,4534.45
7180-PISOG,84.82,High Risk,Month-to-month,1,74.5,74.5
8443-ZRDBZ,76.1,High Risk,Month-to-month,4,76.05,318.9
9079-YEXQJ,28.06,Low Risk,Month-to-month,54,111.1,6014.85
3780-YVMFA,31.8,Medium Risk,Month-to-month,8,68.55,564.35
6968-MHOMU,22.42,Low Risk,One year,58,45.0,2689.35
0899-LIIBW,43.82,Medium Risk,Month-to-month,34,100.85,3527.3
3677-IYRBF,79.81,High Risk,Month-to-month,2,30.4,78.65
8393-DLHGA,58.06,Medium Risk,Month-to-month,25,95.9,2448.75
7691-XVTZH,5.15,Low Risk,Two year,68,89.95,5974.3
5360-LJCNJ,17.03,Low Risk,Two year,71,105.15,7555.0
3891-PUQOD,64.3,High Risk,Month-to-month,1,59.2,59.2
0952-KMEEH,60.06,High Risk,Month-to-month,13,98.15,1230.25
4919-IKATY,63.91,High Risk,Month-to-month,5,84.5,453.75
9746-UGFAC,3.96,Low Risk,One year,22,20.85,450.65
9108-EQPNQ,2.25,Low Risk,Two year,10,26.1,225.55
0531-ZZJWQ,38.74,Medium Risk,Month-to-month,55,74.0,4052.4
8763-KIAFH,2.24,Low Risk,One year,27,20.55,583.3
5863-OOKCL,1.81,Low Risk,Month-to-month,10,18.85,163.2
2958-NHPPS,9.88,Low Risk,Month-to-month,23,20.85,473.9
9530-GRMJG,4.92,Low Risk,Two year,70,84.1,5979.7
1809-DMJHQ,26.3,Low Risk,Month-to-month,5,46.0,221.7
0164-XAIRP,1.97,Low Risk,Two year,24,19.55,470.2
2926-JEJJC,4.53,Low Risk,One year,8,20.2,140.95
1169-WCVAK,21.16,Low Risk,Month-to-month,19,88.8,1672.35
1217-VASWC,40.59,Medium Risk,One year,43,100.55,4304.0
2452-KDRRH,43.74,Medium Risk,Month-to-month,67,101.4,6841.05
6402-EJMWF,39.82,Medium Risk,Month-to-month,4,55.3,238.5
7663-CUXZB,12.61,Low Risk,Two year,59,113.75,6561.25
4312-KFRXN,0.37,Low Risk,Two year,72,25.4,1710.9
3011-WQKSZ,14.7,Low Risk,Month-to-month,19,20.0,377.55
9747-DDZOS,70.69,High Risk,Month-to-month,1,73.5,73.5
2091-MJTFX,10.96,Low Risk,Month-to-month,30,51.2,1561.5
0388-EOPEX,53.67,Medium Risk,Month-to-month,2,74.4,139.4
3161-ONRWK,1.62,Low Risk,One year,60,65.85,3928.3
2587-EKXTS,36.39,Medium Risk,Month-to-month,44,111.5,4915.15
9752-ZNQUT,63.53,High Risk,Month-to-month,1,48.6,48.6
9572-WUKSB,50.61,Medium Risk,Month-to-month,3,29.9,92.25
3836-FZSDJ,0.86,Low Risk,Two year,71,24.85,1901.0
8805-JNRAZ,37.84,Medium Risk,Month-to-month,2,49.2,103.7
3069-SSVSN,19.53,Low Risk,One year,1,25.85,25.85
8015-IHCGW,1.31,Low Risk,Two year,72,115.5,8425.15
8132-YPVBX,71.03,High Risk,Month-to-month,6,85.95,514.6
0235-KGSLC,81.1,High Risk,Month-to-month,1,85.55,85.55
1302-UHBDD,47.96,Medium Risk,Month-to-month,20,89.95,1648.45
3722-WPXTK,86.7,High Risk,Month-to-month,1,88.35,88.35
7531-GQHME,7.35,Low Risk,Month-to-month,12,20.05,265.45
1335-NTIUC,48.62,Medium Risk,Month-to-month,9,24.95,190.25
9367-TCUYN,8.84,Low Risk,Month-to-month,12,20.1,223.6
1536-HBSWP,44.72,Medium Risk,Month-to-month,1,49.9,49.9
8573-JGCZW,4.32,Low Risk,One year,17,19.65,351.55
2694-CIUMO,55.0,Medium Risk,Month-to-month,12,79.55,958.25
2027-FECZV,72.64,High Risk,Month-to-month,12,106.7,1253.9
9103-TCIHJ,18.76,Low Risk,Month-to-month,15,55.7,899.8
1545-JFUML,2.7,Low Risk,Two year,71,99.0,6994.6
0524-IAVZO,58.05,Medium Risk,Month-to-month,30,85.0,2624.25
5519-TEEUH,2.67,Low Risk,One year,33,20.15,682.15
6654-QGBZZ,38.56,Medium Risk,Month-to-month,1,19.9,19.9
2294-DMMUS,10.05,Low Risk,Month-to-month,62,70.45,4300.45
0017-IUDMW,1.59,Low Risk,Two year,72,116.8,8456.75
5018-LXQQG,7.7,Low Risk,Month-to-month,30,66.3,1923.5
5808-TOTXO,5.43,Low Risk,One year,3,20.55,57.4
1174-FGIFN,23.97,Low Risk,One year,28,90.45,2509.25
0730-KOAVE,30.99,Medium Risk,Month-to-month,30,94.3,2679.7
1218-VKFPE,1.58,Low Risk,Month-to-month,12,19.0,233.55
5313-FPXWG,2.92,Low Risk,One year,51,24.6,1266.4
2834-JKOOW,8.88,Low Risk,One year,15,45.9,693.45
9430-NKQLY,0.36,Low Risk,Two year,72,25.1,1790.8
0363-QJVFX,24.04,Low Risk,Month-to-month,32,108.15,3432.9
1658-TJVOA,52.08,Medium Risk,Month-to-month,6,74.1,450.9
6685-GBWJZ,2.86,Low Risk,One year,63,70.8,4448.8
6328-ZPBGN,74.98,High Risk,Month-to-month,11,95.15,997.65
4003-FUSHP,15.67,Low Risk,Month-to-month,19,61.55,1093.2
7690-KPNCU,6.23,Low Risk,One year,64,73.05,4688.65
2969-WGHQO,9.25,Low Risk,One year,7,69.45,477.05
1855-CFULU,15.99,Low Risk,Month-to-month,4,20.05,91.45
9788-YTFGE,10.94,Low Risk,Month-to-month,7,19.95,147.5
8266-VBFQL,57.92,Medium Risk,Month-to-month,4,90.4,356.65
2325-NBPZG,52.17,Medium Risk,Month-to-month,3,74.55,233.65
9906-NHHVC,3.95,Low Risk,Two year,65,53.5,3517.9
2541-YGPKE,10.44,Low Risk,One year,42,63.7,2763.35
5049-MUBWG,7.43,Low Risk,One year,26,75.0,1908.35
2332-TODQS,3.21,Low Risk,One year,48,25.05,1171.5
4419-UJMUS,10.34,Low Risk,Two year,69,99.35,6856.45
2233-TXSIU,6.78,Low Risk,One year,17,44.45,792.15
6770-XUAGN,47.88,Medium Risk,Month-to-month,1,21.0,21.0
2919-HBCJO,59.32,Medium Risk,Month-to-month,4,76.65,333.6
9508-ILZDG,44.16,Medium Risk,Month-to-month,34,96.35,3190.25
5442-BHQNG,50.56,Medium Risk,Month-to-month,2,70.35,139.25
7250-EQKIY,49.83,Medium Risk,Month-to-month,1,50.45,50.45
6838-HVLXG,7.5,Low Risk,Month-to-month,12,20.3,246.7
9767-FFLEM,30.41,Medium Risk,Month-to-month,38,69.5,2625.25
2245-ADZFJ,2.4,Low Risk,Two year,31,80.55,2471.6
1150-WFARN,15.05,Low Risk,Two year,67,108.75,7156.2
9054-FOWNV,58.26,Medium Risk,Month-to-month,22,88.75,1885.15
7997-EASSD,4.57,Low Risk,One year,63,81.2,4965.1
7560-QJAVJ,2.27,Low Risk,Two year,70,79.6,5589.45
2668-TZSPS,31.62,Medium Risk,Month-to-month,1,20.45,20.45
9139-WQQDY,18.35,Low Risk,One year,49,100.45,4941.8
6726-NNFWD,1.75,Low Risk,Two year,71,89.45,6435.25
9330-DHBFL,4.25,Low Risk,One year,23,66.25,1533.8
5727-MYATE,0.47,Low Risk,Two year,72,90.8,6397.6
2824-DXNKN,0.64,Low Risk,Two year,72,71.45,5025.85
6166-ILMNY,47.23,Medium Risk,Month-to-month,2,69.75,144.55
5236-XMZJY,10.64,Low Risk,Month-to-month,42,59.65,2536.55
1709-EJDOX,1.49,Low Risk,Two year,47,19.75,948.9
4962-CHQPW,2.6,Low Risk,One year,29,19.85,535.05
0301-FIDRB,0.44,Low Risk,Two year,72,63.8,4684.3
1820-TQVEV,86.3,High Risk,Month-to-month,1,69.55,69.55
9115-YQHGA,13.12,Low Risk,Month-to-month,40,51.1,2092.9
1541-ETJZO,36.24,Medium Risk,Month-to-month,1,62.05,62.05
6230-BSUXY,89.66,High Risk,Month-to-month,1,85.0,85.0
6797-LNAQX,4.71,Low Risk,Two year,70,98.3,6859.5
9588-YRFHY,1.13,Low Risk,Two year,49,19.9,1022.6
1092-GANHU,44.75,Medium Risk,Month-to-month,17,76.65,1313.55
5951-AOFIH,15.11,Low Risk,Month-to-month,33,66.4,2245.4
7029-RPUAV,57.29,Medium Risk,Month-to-month,17,100.45,1622.45
4700-UBQMV,17.44,Low Risk,One year,21,75.9,1549.75
3594-UVONA,9.74,Low Risk,One year,35,85.95,3110.1
7750-EYXWZ,16.55,Low Risk,One year,12,60.65,743.3
7054-ENNGU,16.82,Low Risk,Month-to-month,9,50.85,466.6
0402-OAMEN,0.29,Low Risk,Two year,72,24.45,1709.1
2195-VVRJF,15.95,Low Risk,Month-to-month,18,59.1,1011.05
8819-ZBYNA,16.74,Low Risk,Two year,58,109.1,6393.65
7748-UMTRK,52.12,Medium Risk,Month-to-month,30,101.3,2974.5
1741-WTPON,9.07,Low Risk,Two year,56,115.85,6567.9
7209-JCUDS,76.7,High Risk,Month-to-month,10,94.9,1048.85
2485-ITVKB,69.74,High Risk,Month-to-month,2,35.1,68.75
9648-BCHKM,2.33,Low Risk,Two year,18,24.65,471.35
0743-HRVFF,14.2,Low Risk,One year,51,56.15,2898.95
2522-AHJXR,22.62,Low Risk,Month-to-month,60,109.45,6572.85
9143-CANJF,12.93,Low Risk,Month-to-month,24,55.15,1319.85
1444-VVSGW,20.92,Low Risk,One year,70,115.65,7968.85
6898-MDLZW,15.76,Low Risk,Month-to-month,12,53.75,648.65
0074-HDKDG,4.92,Low Risk,One year,25,61.6,1611.0
3982-JGSFD,2.49,Low Risk,One year,36,20.35,695.85
7928-VJYAB,46.98,Medium Risk,Month-to-month,11,90.6,1020.2
1522-VVDMG,54.35,Medium Risk,Month-to-month,7,89.75,608.8
2665-NPTGL,64.97,High Risk,Month-to-month,26,98.1,2510.7
8728-SKJLR,33.46,Medium Risk,Month-to-month,41,74.25,3089.1
7733-UDMTP,37.95,Medium Risk,Month-to-month,57,55.0,3094.05
0431-APWVY,24.82,Low Risk,One year,28,90.1,2598.95
5081-NWSUP,12.91,Low Risk,One year,10,64.9,685.55
2746-DIJLO,7.24,Low Risk,One year,41,56.3,2364.0
7277-OZCGZ,31.54,Medium Risk,Month-to-month,22,89.05,1886.25
5236-PERKL,15.19,Low Risk,Two year,57,112.95,6465.0
2788-CJQAQ,3.34,Low Risk,One year,13,19.45,270.2
3096-WPXBT,11.21,Low Risk,One year,61,100.7,6018.65
9962-BFPDU,40.55,Medium Risk,Month-to-month,1,20.05,20.05
2892-GESUL,2.19,Low Risk,Two year,18,19.35,309.25
9741-YLNTD,68.81,High Risk,Month-to-month,6,87.95,522.35
1205-WNWPJ,22.22,Low Risk,Month-to-month,7,59.5,415.95
3173-NVMPX,30.22,Medium Risk,Month-to-month,9,55.3,501.2
9661-MHUMO,37.12,Medium Risk,Month-to-month,1,49.25,49.25
6000-APYLU,60.13,High Risk,Month-to-month,9,80.8,713.1
0048-PIHNL,2.13,Low Risk,One year,49,20.45,900.9
9420-LOJKX,63.96,High Risk,Month-to-month,15,99.1,1426.4
7061-OVMIM,2.81,Low Risk,One year,30,19.55,608.5
5671-RQRLP,14.38,Low Risk,Two year,70,75.65,5411.4
5129-JLPIS,66.36,High Risk,Month-to-month,25,105.5,2686.05
5170-PTRKA,2.61,Low Risk,One year,49,35.8,1782.0
4819-HJPIW,18.48,Low Risk,Month-to-month,18,25.15,476.8
